id,artist_name,real_name,gender,debut_year,nationality,birth_date,height,position,image_path,is_published,release_date
1,Kim Chaewon,Kim Chae-won,Female,2018,South Korean,2000-08-01,164,"Leader, Vocalist, Dancer",/idols/chaewon.webp,1,2025-11-28
2,Sakura,Miyawaki Sakura,Female,2018,Japanese,1998-03-19,163,"Vocalist, Rapper, Dancer",/idols/sakura.webp,1,2121
3,Huh Yunjin,Huh Yun-jin,Female,2022,"South Korean, American",2001-10-08,172,"Vocalist, Rapper",/idols/yunjin.webp,1,2121
4,Kazuha,Nakamura Kazuha,Female,2022,Japanese,2003-08-09,170,"Sub-Vocalist, Rapper, Dancer",/idols/kazuha.webp,1,2121
5,Hong Eunchae,Hong Eun-chae,Female,2022,South Korean,2006-11-10,169,"Vocalist, Lead Dancer, Maknae",/idols/eunchae.webp,1,2121
6,Karina,Yu Ji-min,Female,2020,South Korean,2000-04-11,168,"Leader, Main Dancer, Lead Rapper, Sub-Vocalist, Visual",/idols/karina.webp,1,2121
7,Giselle,Uchinaga Aeri,Female,2020,"Japanese, South Korean",2000-10-30,164,"Main Rapper, Sub-Vocalist",/idols/giselle.webp,1,2121
8,Winter,Kim Min-jeong,Female,2020,South Korean,2001-01-01,163,"Lead Vocalist, Lead Dancer",/idols/winter.webp,1,2121
9,NingNing,Níng Yìzhuō,Female,2020,Chinese,2002-10-23,161,"Main Vocalist, Maknae",/idols/ningning.webp,1,2121
10,Jihyo,Park Ji-hyo,Female,2015,South Korean,1997-02-01,162,"Leader, Main Vocalist",/idols/jihyo.webp,1,2121
11,Nayeon,Im Na-yeon,Female,2015,South Korean,1995-09-22,163,"Lead Vocalist, Lead Dancer, Center, FOTG",/idols/nayeon.webp,1,2121
12,Jeongyeon,Yoo Jeong-yeon,Female,2015,South Korean,1996-11-01,168,"Lead Vocalist, Dancer",/idols/jeongyeon.webp,1,2121
13,Momo,Hirai Momo,Female,2015,Japanese,1996-11-09,163,"Main Dancer, Sub-Vocalist, Rapper",/idols/momo.webp,1,2121
14,Sana,Minatozaki Sana,Female,2015,Japanese,1996-12-29,164,"Sub-Vocalist",/idols/sana.webp,1,2121
15,Mina,Mina Sharon Myoi,Female,2015,"Japanese, American",1997-03-24,163,"Main Dancer, Sub-Vocalist",/idols/mina.webp,1,2121
16,Dahyun,Kim Da-hyun,Female,2015,South Korean,1998-05-28,161,"Lead Rapper, Sub-Vocalist",/idols/dahyun.webp,1,2121
17,Chaeyoung,Son Chae-young,Female,2015,South Korean,1999-04-23,159,"Main Rapper, Sub-Vocalist",/idols/chaeyoung.webp,1,2121
18,Tzuyu,Chou Tzuyu,Female,2015,Taiwanese,1999-06-14,170,"Lead Dancer, Sub-Vocalist, Visual, Maknae",/idols/tzuyu.webp,1,2121
19,Yujin,An Yu-jin,Female,2018,South Korean,2003-09-01,173,"Leader, Main Vocalist, Main Dancer",/idols/yujin.webp,1,2121
20,Gaeul,Kim Ga Eul,Female,2021,South Korean,2002-09-24,164,"Main Dancer, Lead Rapper, Sub-Vocalist",/idols/gaeul.webp,1,2121
21,Rei,Naoi Rei,Female,2021,Japanese,2004-02-03,170,"Main Rapper, Sub-Vocalist",/idols/rei.webp,1,2121
22,Wonyoung,Jang Won-young,Female,2018,South Korean,2004-08-31,173,"Vocalist, Dancer, Visual",/idols/wonyoung.webp,1,2121
23,Liz,Kim Ji-won,Female,2021,South Korean,2004-11-21,171,"Main Vocalist, Dancer",/idols/liz.webp,1,2121
